Running 1m test @ http://amd261.utah.cloudlab.us:8000
  10 threads and 100 connections
  Thread calibration: mean lat.: 1.109ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.091ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.105ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.137ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.135ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.106ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.115ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.141ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.124ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.105ms, rate sampling interval: 10ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     1.01ms  396.99us   2.67ms   67.33%
    Req/Sec    53.31    109.45   444.00     82.63%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    0.99ms
 75.000%    1.25ms
 90.000%    1.55ms
 99.000%    2.01ms
 99.900%    2.23ms
 99.990%    2.60ms
 99.999%    2.67ms
100.000%    2.67ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.157     0.000000            1         1.00
       0.505     0.100000         2494         1.11
       0.643     0.200000         4992         1.25
       0.764     0.300000         7493         1.43
       0.878     0.400000         9988         1.67
       0.985     0.500000        12476         2.00
       1.041     0.550000        13734         2.22
       1.091     0.600000        14973         2.50
       1.141     0.650000        16232         2.86
       1.194     0.700000        17465         3.33
       1.250     0.750000        18706         4.00
       1.282     0.775000        19334         4.44
       1.320     0.800000        19956         5.00
       1.365     0.825000        20588         5.71
       1.414     0.850000        21204         6.67
       1.474     0.875000        21826         8.00
       1.507     0.887500        22136         8.89
       1.549     0.900000        22447        10.00
       1.596     0.912500        22757        11.43
       1.645     0.925000        23071        13.33
       1.696     0.937500        23381        16.00
       1.725     0.943750        23547        17.78
       1.752     0.950000        23695        20.00
       1.781     0.956250        23848        22.86
       1.813     0.962500        24007        26.67
       1.845     0.968750        24160        32.00
       1.865     0.971875        24238        35.56
       1.886     0.975000        24317        40.00
       1.905     0.978125        24396        45.71
       1.926     0.981250        24476        53.33
       1.949     0.984375        24554        64.00
       1.961     0.985938        24590        71.11
       1.978     0.987500        24628        80.00
       1.997     0.989062        24669        91.43
       2.020     0.990625        24708       106.67
       2.040     0.992188        24746       128.00
       2.049     0.992969        24766       142.22
       2.059     0.993750        24785       160.00
       2.071     0.994531        24804       182.86
       2.087     0.995313        24825       213.33
       2.097     0.996094        24842       256.00
       2.107     0.996484        24852       284.44
       2.119     0.996875        24863       320.00
       2.135     0.997266        24874       365.71
       2.147     0.997656        24881       426.67
       2.157     0.998047        24891       512.00
       2.167     0.998242        24896       568.89
       2.187     0.998437        24901       640.00
       2.195     0.998633        24905       731.43
       2.207     0.998828        24910       853.33
       2.227     0.999023        24915      1024.00
       2.247     0.999121        24918      1137.78
       2.249     0.999219        24920      1280.00
       2.305     0.999316        24922      1462.86
       2.337     0.999414        24925      1706.67
       2.351     0.999512        24927      2048.00
       2.375     0.999561        24929      2275.56
       2.425     0.999609        24930      2560.00
       2.449     0.999658        24931      2925.71
       2.459     0.999707        24932      3413.33
       2.473     0.999756        24933      4096.00
       2.491     0.999780        24935      4551.11
       2.491     0.999805        24935      5120.00
       2.491     0.999829        24935      5851.43
       2.565     0.999854        24936      6826.67
       2.565     0.999878        24936      8192.00
       2.597     0.999890        24937      9102.22
       2.597     0.999902        24937     10240.00
       2.597     0.999915        24937     11702.86
       2.609     0.999927        24938     13653.33
       2.609     0.999939        24938     16384.00
       2.609     0.999945        24938     18204.44
       2.609     0.999951        24938     20480.00
       2.609     0.999957        24938     23405.71
       2.673     0.999963        24939     27306.67
       2.673     1.000000        24939          inf
#[Mean    =        1.007, StdDeviation   =        0.397]
#[Max     =        2.672, Total count    =        24939]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  30010 requests in 1.00m, 3.52MB read
Requests/sec:    500.15
Transfer/sec:     60.08KB
